id,account,password,nickname,diamonds,gold,±¸×¢
1,12345670001,581439,cs001,100,0,×êÊ¯¶Ò»»½ğ±ÒµÄ±ÈÀıÊÇ1£º1200
2,12345670002,180618,cs002,100,0,µ±×êÊ¯ÊıÁ¿ÉÙÓÚ10¸öÊ±£¬ÂíÉÏÖØÖÃ
3,12345670003,908178,cs003,100,0,
4,12345670004,147837,cs004,100,0,
5,12345670005,949536,cs005,100,0,
6,12345670006,845510,cs006,100,0,
7,12345670007,783855,cs007,100,0,
8,12345670008,456385,cs008,100,0,
9,12345670009,230021,cs009,100,0,
10,12345670010,159141,cs010,100,0,
11,12345670011,735135,cs011,100,0,
12,12345670012,807130,cs012,100,0,
13,12345670013,387886,cs013,100,0,
14,12345670014,383556,cs014,100,0,
15,12345670015,317255,cs015,100,0,
16,12345670016,506529,cs016,100,0,
17,12345670017,558962,cs017,100,0,
18,12345670018,514161,cs018,100,0,
19,12345670019,744956,cs019,100,0,
20,12345670020,516445,cs020,100,0,
21,12345670021,901301,cs021,100,0,
22,12345670022,618718,cs022,100,0,
23,12345670023,303982,cs023,100,0,
24,12345670024,597400,cs024,100,0,
25,12345670025,974662,cs025,100,0,
26,12345670026,824324,cs026,100,0,
27,12345670027,575740,cs027,100,0,
28,12345670028,643105,cs028,100,0,
29,12345670029,183371,cs029,100,0,
30,12345670030,874895,cs030,100,0,
31,12345670031,394000,cs031,100,0,
32,12345670032,164932,cs032,100,0,
33,12345670033,280061,cs033,100,0,
34,12345670034,700945,cs034,100,0,
35,12345670035,956957,cs035,100,0,
36,12345670036,792327,cs036,100,0,
37,12345670037,311177,cs037,100,0,
38,12345670038,175564,cs038,100,0,
39,12345670039,962945,cs039,100,0,
40,12345670040,337256,cs040,100,0,
41,12345670041,705269,cs041,100,0,
42,12345670042,897780,cs042,100,0,
43,12345670043,908088,cs043,100,0,
44,12345670044,937029,cs044,100,0,
45,12345670045,740803,cs045,100,0,
46,12345670046,475946,cs046,100,0,
47,12345670047,668956,cs047,100,0,
48,12345670048,674916,cs048,100,0,
49,12345670049,431696,cs049,100,0,
50,12345670050,863962,cs050,100,0,
51,12345670051,324259,cs051,100,0,
52,12345670052,627658,cs052,100,0,
53,12345670053,659307,cs053,100,0,
