id,kind,changci,nickname,sex,level,coin,diamond,cointime,coinup,vip,headframe,phone,,,,,,,,,,use
1,1,1,花生米,1,1002,2000,0,1,50000,0,0,10005000101,,,,,,,,,,
2,1,1,三分书生气,1,1002,5368,1,1,50000,0,0,10005000102,,,,,,,,,,
3,1,1,姐的霸气,2,1002,8736,2,1,50000,0,0,10005000103,,,,,,,,,,
4,1,1,盯着试卷,1,1002,12104,3,1,50000,0,0,10005000104,,,,,,,,,,
5,1,1,网名太拽,1,1002,15472,4,1,50000,0,0,10005000105,,,,,,,,,,
6,1,1,冷眼看你演,1,1002,18840,5,1,50000,0,0,10005000106,,,,,,,,,,
7,1,1,浪漫的杀手,1,1002,22208,6,1,50000,0,0,10005000107,,,,,,,,,,
8,1,1,草莓味的吻,2,1002,25576,7,1,50000,0,0,10005000108,,,,,,,,,,
9,1,1,拿稳感情刀,1,1002,28944,8,1,50000,0,0,10005000109,,,,,,,,,,
10,1,1,污界扛把子,1,1002,32312,9,1,50000,0,0,10005000110,,,,,,,,,,
11,1,1,一脸美人痣,2,1002,35680,10,1,50000,0,0,10005000111,,,,,,,,,,
12,1,1,原味少女心,2,1002,39048,11,1,100000,0,0,10005000112,,,,,,,,,,
13,1,1,独走感情路,1,1003,42416,12,1,100000,0,0,10005000113,,,,,,,,,,
14,1,1,余生牵她手,1,1003,45784,13,1,100000,0,0,10005000114,,,,,,,,,,
15,1,1,心软脾气爆,2,1003,49152,14,1,100000,0,0,10005000115,,,,,,,,,,
16,1,1,顾北清歌寒,2,1003,52520,15,1,100000,0,0,10005000116,,,,,,,,,,
17,1,1,青春喂了狗,2,1003,55888,16,1,100000,0,0,10005000117,,,,,,,,,,
18,1,1,痞味小污女,2,1003,59256,17,1,100000,0,0,10005000118,,,,,,,,,,
19,1,1,懒得想,2,1003,62624,18,1,100000,0,0,10005000119,,,,,,,,,,
20,1,1,轰炸男厕所,2,1003,65992,19,1,100000,0,0,10005000120,,,,,,,,,,
21,1,1,情少故事多,1,1003,69360,20,1,100000,0,0,10005000121,,,,,,,,,,
22,1,1,挥刀斩情丝,2,1003,72728,21,1,100000,0,0,10005000122,,,,,,,,,,
23,1,1,持刀稳情场,2,1003,76096,22,1,100000,0,0,10005000123,,,,,,,,,,
24,1,1,一身仙女味,2,1003,79464,23,1,150000,0,0,10005000124,,,,,,,,,,
25,1,1,很酷不撩妹,1,1003,82832,24,1,150000,0,0,10005000125,,,,,,,,,,
26,1,1,西瓜的夏天,2,1003,86200,25,1,150000,1,0,10005000126,,,,,,,,,,
27,1,1,收心不再浪,2,1003,89568,26,1,150000,1,0,10005000127,,,,,,,,,,
28,1,1,余生牵你手,2,1003,92936,27,1,150000,1,0,10005000128,,,,,,,,,,
29,1,1,好莱污影帝,1,1003,96304,28,2,150000,1,0,10005000129,,,,,,,,,,
30,1,1,孤酒浪人,2,1003,99672,29,2,150000,1,0,10005000130,,,,,,,,,,
31,1,1,我心已冷,1,1003,103040,30,2,150000,1,0,10005000131,,,,,,,,,,
32,1,1,百毒不侵,1,1003,106408,31,2,150000,1,0,10005000132,,,,,,,,,,
33,2,1,浪人与酒,1,1003,109776,32,2,150000,1,0,10005000133,,,,,,,,,,
34,2,1,世态炎凉,2,1003,113144,33,2,150000,2,0,10005000134,,,,,,,,,,
35,2,1,像个笑话,2,1003,116512,34,2,150000,2,0,10005000135,,,,,,,,,,
36,2,1,旧时猫巷,2,1004,119880,35,2,150000,2,0,10005000136,,,,,,,,,,
37,2,1,痴人说梦,1,1004,123248,36,2,150000,2,0,10005000137,,,,,,,,,,
38,2,1,孤独情话,2,1004,126616,37,2,150000,2,0,10005000138,,,,,,,,,,
39,2,1,败给现实,2,1004,129984,38,2,150000,2,0,10005000139,,,,,,,,,,
40,2,1,故人老街,2,1004,100000,39,2,150000,0,0,10005000140,,,,,,,,,,
41,1,2,神经领袖,1,1005,117241,40,1,500000,0,0,10005000141,,,,,,,,,,
42,1,2,顾与南歌,1,1005,134482,41,1,500000,0,0,10005000142,,,,,,,,,,
43,1,2,凉城凉忆,1,1005,151723,42,1,500000,0,0,10005000143,,,,,,,,,,
44,1,2,静梦蔷薇,2,1005,168964,43,1,500000,0,0,10005000144,,,,,,,,,,
45,1,2,盛夏物语,2,1005,186205,44,1,500000,0,0,10005000145,,,,,,,,,,
46,1,2,孤城少女,2,1005,203446,45,1,500000,0,0,10005000146,,,,,,,,,,
47,2,2,泪雨成殇,1,1005,220687,46,1,500000,0,0,10005000147,,,,,,,,,,
48,2,2,人心难测,1,1005,237928,47,1,500000,0,0,10005000148,,,,,,,,,,
49,2,2,孤身一人,1,1005,255169,48,1,500000,0,0,10005000149,,,,,,,,,,
50,2,2,情葬死海,1,1005,272410,49,1,500000,0,0,10005000150,,,,,,,,,,
51,2,2,陌上归人,1,1005,289651,50,1,800000,0,0,10005000151,,,,,,,,,,
52,2,2,羽落凡宸,1,1005,306892,51,1,800000,2,0,10005000152,,,,,,,,,,
53,2,2,心在流浪,2,1005,324133,52,1,800000,2,0,10005000153,,,,,,,,,,
54,2,2,低吟寂寞,2,1005,341374,53,1,800000,2,0,10005000154,,,,,,,,,,
55,2,2,情深似海,2,1005,358615,54,1,800000,2,0,10005000155,,,,,,,,,,
56,2,2,认证帅哥,1,1005,375856,55,2,800000,2,0,10005000156,,,,,,,,,,
57,2,2,帅到没人爱,1,1005,393097,56,2,800000,2,0,10005000157,,,,,,,,,,
58,2,2,帅的被人砍,1,1005,410338,57,2,800000,2,0,10005000158,,,,,,,,,,
59,2,2,从头酷到脚,1,1006,427579,58,2,800000,2,0,10005000159,,,,,,,,,,
60,2,2,24K纯帅,1,1006,444820,59,2,800000,3,0,10005000160,,,,,,,,,,
61,2,2,美的冒泡,2,1006,462061,60,2,1000000,3,0,10005000161,,,,,,,,,,
62,2,2,酷到不说话,1,1006,479302,61,2,1000000,3,0,10005000162,,,,,,,,,,
63,2,2,我帅我随意,1,1006,496543,62,2,1000000,3,0,10005000163,,,,,,,,,,
64,2,2,帅能当饭吃,1,1006,513784,63,2,1000000,3,0,10005000164,,,,,,,,,,
65,3,2,人帅是非多,1,1006,531025,64,2,1000000,3,0,10005000165,,,,,,,,,,
66,3,2,我怕帅哭你,1,1006,548266,65,2,1000000,3,0,10005000166,,,,,,,,,,
67,3,2,华灯初上,2,1006,565507,66,2,1000000,3,0,10005000167,,,,,,,,,,
68,3,2,亡梦爱人,2,1006,582748,67,2,1000000,3,0,10005000168,,,,,,,,,,
69,3,2,感谢相遇,2,1006,599989,68,2,1000000,3,0,10005000169,,,,,,,,,,
70,3,2,呆萌大叔,1,1006,700000,69,2,1000000,0,0,10005000170,,,,,,,,,,
71,2,3,戏子无情,1,1006,779310,70,1,3000000,0,0,10005000171,,,,,,,,,,
72,2,3,陌人不故,1,1006,858620,71,1,3000000,0,0,10005000172,,,,,,,,,,
73,2,3,不说离别,1,1006,937930,72,1,3000000,0,0,10005000173,,,,,,,,,,
74,2,3,时光无心,1,1006,1017240,73,1,3000000,0,0,10005000174,,,,,,,,,,
75,2,3,阿猫阿狗,1,1006,1096550,74,1,3000000,1,0,10005000175,,,,,,,,,,
76,2,3,离陌笙歌,1,1006,1175860,75,1,3000000,1,0,10005000176,,,,,,,,,,
77,3,3,一腔孤勇,1,1006,1255170,76,1,3000000,1,0,10005000177,,,,,,,,,,
78,3,3,孤街浪徒,1,1006,1334480,77,1,3000000,1,0,10005000178,,,,,,,,,,
79,3,3,安城旧人,1,1006,1413790,78,1,3000000,1,0,10005000179,,,,,,,,,,
80,3,3,笑对孤独,1,1006,1493100,79,1,3000000,1,0,10005000180,,,,,,,,,,
81,3,3,凉城无爱,1,1007,1572410,80,1,3000000,1,0,10005000181,,,,,,,,,,
82,3,3,云淡风轻,2,1007,1651720,81,1,3000000,2,0,10005000182,,,,,,,,,,
83,3,3,半夏微凉,2,1007,1731030,82,1,3000000,2,0,10005000183,,,,,,,,,,
84,3,3,无人久伴,2,1007,1810340,83,2,3000000,2,0,10005000184,,,,,,,,,,
85,3,3,别谈爱情,2,1007,1889650,84,2,3000000,2,0,10005000185,,,,,,,,,,
86,4,3,云卷云舒,2,1007,1968960,85,2,3000000,2,0,10005000186,,,,,,,,,,
87,4,3,偶尔合群,2,1007,2048270,86,2,3000000,2,0,10005000187,,,,,,,,,,
88,4,3,易缕烊光,2,1007,2127580,87,2,3000000,2,0,10005000188,,,,,,,,,,
89,4,3,笑拥孤独,2,1007,2206890,88,2,3000000,0,0,10005000189,,,,,,,,,,
90,4,3,久爱不悔,2,1008,2286200,89,1,3000000,0,0,10005000190,,,,,,,,,,
91,3,4,欲陌安生,1,1008,7300000,90,1,99999999,0,0,10005000191,,,,,,,,,,
92,3,4,念念不忘,1,1008,10600000,91,1,99999999,2,0,10005000192,,,,,,,,,,
93,3,4,雪舞樱飞,1,1008,13900000,92,2,99999999,2,0,10005000193,,,,,,,,,,
94,3,4,执念一人,2,1008,17200000,93,2,99999999,2,0,10005000194,,,,,,,,,,
95,4,4,康忙北鼻,1,1008,20500000,94,2,99999999,3,0,10005000195,,,,,,,,,,
96,4,4,至尊天下,1,1008,23800000,95,2,99999999,3,0,10005000196,,,,,,,,,,
97,4,4,浪子无家,1,1008,27100000,96,2,99999999,3,0,10005000197,,,,,,,,,,
98,4,4,安好勿念,2,1008,30400000,97,2,99999999,3,0,10005000198,,,,,,,,,,
99,4,4,删除记忆,2,1008,33700000,98,2,99999999,3,0,10005000199,,,,,,,,,,
100,4,4,心尖爱人,2,1008,37000000,99,2,99999999,3,0,10005000200,,,,,,,,,,
101,1,1,三千女粉丝,1,1002,2000,0,1,50000,0,0,10005000201,,,,,,,,,,
102,1,1,用户已诈尸,1,1002,5368,1,1,50000,0,0,10005000202,,,,,,,,,,
103,1,1,背后不说人,1,1002,8736,2,1,50000,0,0,10005000203,,,,,,,,,,
104,1,1,别墅野情,1,1002,12104,3,1,50000,0,0,10005000204,,,,,,,,,,
105,1,1,我中了一抢,1,1002,15472,4,1,50000,0,0,10005000205,,,,,,,,,,
106,1,1,勾引小白兔,1,1002,18840,5,1,50000,0,0,10005000206,,,,,,,,,,
107,1,1,烈酒与马子,1,1002,22208,6,1,50000,0,0,10005000207,,,,,,,,,,
108,1,1,蹲下抱头,1,1002,25576,7,1,50000,0,0,10005000208,,,,,,,,,,
109,1,1,骂骂更健康,1,1002,28944,8,1,50000,0,0,10005000209,,,,,,,,,,
110,1,1,酷毙的大脑,1,1002,32312,9,1,50000,0,0,10005000210,,,,,,,,,,
111,1,1,呆到自然萌,1,1002,35680,10,1,50000,0,0,10005000211,,,,,,,,,,
112,1,1,拯救胡萝卜,1,1002,39048,11,1,100000,0,0,10005000212,,,,,,,,,,
113,1,1,黑毛警长,1,1003,42416,12,1,100000,0,0,10005000213,,,,,,,,,,
114,1,1,发份涂墙,1,1003,45784,13,1,100000,0,0,10005000214,,,,,,,,,,
115,1,1,夏日么么凉、,2,1003,49152,14,1,100000,0,0,10005000215,,,,,,,,,,
116,1,1,命犯挑花,1,1003,52520,15,1,100000,0,0,10005000216,,,,,,,,,,
117,1,1,宝宝金水,2,1003,55888,16,1,100000,0,0,10005000217,,,,,,,,,,
118,1,1,青春躁动症,2,1003,59256,17,1,100000,0,0,10005000218,,,,,,,,,,
119,1,1,治愈系乡霸,1,1003,62624,18,1,100000,0,0,10005000219,,,,,,,,,,
120,1,1,光头尼姑,2,1003,65992,19,1,100000,0,0,10005000220,,,,,,,,,,
121,1,1,加勒比海带,2,1003,69360,20,1,100000,0,0,10005000221,,,,,,,,,,
122,1,1,梦中穷人,1,1003,72728,21,1,100000,0,0,10005000222,,,,,,,,,,
123,1,1,无七图形,2,1003,76096,22,1,100000,0,0,10005000223,,,,,,,,,,
124,1,1,少林铁头功,1,1003,79464,23,1,150000,0,0,10005000224,,,,,,,,,,
125,1,1,高调生活,2,1003,82832,24,1,150000,0,0,10005000225,,,,,,,,,,
126,1,1,非人,2,1003,86200,25,1,150000,1,0,10005000226,,,,,,,,,,
127,1,1,窃尽光阴,2,1003,89568,26,1,150000,1,0,10005000227,,,,,,,,,,
128,1,1,降龙罗宾汉,1,1003,92936,27,1,150000,1,0,10005000228,,,,,,,,,,
129,1,1,浅港,2,1003,96304,28,2,150000,1,0,10005000229,,,,,,,,,,
130,1,1,墨染红尘,2,1003,99672,29,2,150000,1,0,10005000230,,,,,,,,,,
131,1,1,琉箫,2,1003,103040,30,2,150000,1,0,10005000231,,,,,,,,,,
132,1,1,梦幻雪冰,2,1003,106408,31,2,150000,1,0,10005000232,,,,,,,,,,
133,2,1,残月,2,1003,109776,32,2,150000,1,0,10005000233,,,,,,,,,,
134,2,1,清冷孤傲,2,1003,113144,33,2,150000,2,0,10005000234,,,,,,,,,,
135,2,1,绝恋,2,1003,116512,34,2,150000,2,0,10005000235,,,,,,,,,,
136,2,1,曼珠梦屿,2,1004,119880,35,2,150000,2,0,10005000236,,,,,,,,,,
137,2,1,孤冷,1,1004,123248,36,2,150000,2,0,10005000237,,,,,,,,,,
138,2,1,歌岛礼矢,2,1004,126616,37,2,150000,2,0,10005000238,,,,,,,,,,
139,2,1,离欢,2,1004,129984,38,2,150000,2,0,10005000239,,,,,,,,,,
140,2,1,鹤归孤山,2,1004,100000,39,2,150000,0,0,10005000240,,,,,,,,,,
141,1,2,心塞,1,1005,117241,40,1,500000,0,0,10005000241,,,,,,,,,,
142,1,2,云海之巅,1,1005,134482,41,1,500000,0,0,10005000242,,,,,,,,,,
143,1,2,泪痕,1,1005,151723,42,1,500000,0,0,10005000243,,,,,,,,,,
144,1,2,望断天涯,1,1005,168964,43,1,500000,0,0,10005000244,,,,,,,,,,
145,1,2,守梦,1,1005,186205,44,1,500000,0,0,10005000245,,,,,,,,,,
146,1,2,破殇,1,1005,203446,45,1,500000,0,0,10005000246,,,,,,,,,,
147,2,2,忘川流年,1,1005,220687,46,1,500000,0,0,10005000247,,,,,,,,,,
148,2,2,踏尘,1,1005,237928,47,1,500000,0,0,10005000248,,,,,,,,,,
149,2,2,一抹阳光,1,1005,255169,48,1,500000,0,0,10005000249,,,,,,,,,,
150,2,2,浅哀,1,1005,272410,49,1,500000,0,0,10005000250,,,,,,,,,,
151,2,2,末世心蔷,1,1005,289651,50,1,800000,0,0,10005000251,,,,,,,,,,
152,2,2,烛伤,1,1005,306892,51,1,800000,2,0,10005000252,,,,,,,,,,
153,2,2,繁花院络,2,1005,324133,52,1,800000,2,0,10005000253,,,,,,,,,,
154,2,2,冷眸,2,1005,341374,53,1,800000,2,0,10005000254,,,,,,,,,,
155,2,2,Vincent,1,1005,358615,54,1,800000,2,0,10005000255,,,,,,,,,,
156,2,2,过路人,2,1005,375856,55,2,800000,2,0,10005000256,,,,,,,,,,
157,2,2,Michael,2,1005,393097,56,2,800000,2,0,10005000257,,,,,,,,,,
158,2,2,怪叔叔,1,1005,410338,57,2,800000,2,0,10005000258,,,,,,,,,,
159,2,2,Hugo,2,1006,427579,58,2,800000,2,0,10005000259,,,,,,,,,,
160,2,2,心里的温柔,2,1006,444820,59,2,800000,3,0,10005000260,,,,,,,,,,
161,2,2,平淡人生,2,1006,462061,60,2,1000000,3,0,10005000261,,,,,,,,,,
162,2,2,waajok,2,1006,479302,61,2,1000000,3,0,10005000262,,,,,,,,,,
163,2,2,廖若晨星,2,1006,496543,62,2,1000000,3,0,10005000263,,,,,,,,,,
164,2,2,光辉岁月,2,1006,513784,63,2,1000000,3,0,10005000264,,,,,,,,,,
165,3,2,Oscar,2,1006,531025,64,2,1000000,3,0,10005000265,,,,,,,,,,
166,3,2,回忆深长,2,1006,548266,65,2,1000000,3,0,10005000266,,,,,,,,,,
167,3,2,不惑前行,2,1006,565507,66,2,1000000,3,0,10005000267,,,,,,,,,,
168,3,2,回头有谁,2,1006,582748,67,2,1000000,3,0,10005000268,,,,,,,,,,
169,3,2,靠他肩,2,1006,599989,68,2,1000000,3,0,10005000269,,,,,,,,,,
170,3,2,梦旅人,2,1006,700000,69,2,1000000,0,0,10005000270,,,,,,,,,,
171,2,3,伪君子,1,1006,779310,70,1,3000000,0,0,10005000271,,,,,,,,,,
172,2,3,六月雨,1,1006,858620,71,1,3000000,0,0,10005000272,,,,,,,,,,
173,2,3,跟踪人,1,1006,937930,72,1,3000000,0,0,10005000273,,,,,,,,,,
174,2,3,痴人泪,1,1006,1017240,73,1,3000000,0,0,10005000274,,,,,,,,,,
175,2,3,森呼吸,1,1006,1096550,74,1,3000000,1,0,10005000275,,,,,,,,,,
176,2,3,抱紧我,1,1006,1175860,75,1,3000000,1,0,10005000276,,,,,,,,,,
177,3,3,魂之神刃,1,1006,1255170,76,1,3000000,1,0,10005000277,,,,,,,,,,
178,3,3,坏气少爷,1,1006,1334480,77,1,3000000,1,0,10005000278,,,,,,,,,,
